timestamp,name,mode,level,sentence_id,gold,typed,typed_vowels,gold_vowels,vowel_cer,t_init_ms,t_total_ms,keystrokes,backspaces,mean_iki_ms,selected_rank,success
2026-06-23T11:26:49,衛生?,vowel_infer,1,L1-01,おはよう,おはよう,,o a o u,,2762.0,256.0,1,0,0.0,-1,1
2026-06-23T11:26:55,衛生?,vowel_infer,1,L1-02,パソコン,パソコン,,a o o n,,2788.0,392.0,1,0,0.0,-1,1
2026-06-23T11:27:03,衛生?,vowel_infer,1,L1-03,電話,電話,,e n a,,3621.0,744.0,1,1,379.0,-1,1
2026-06-23T11:27:15,衛生?,vowel_infer,2,L2-01,何を食べようか,何を食べようか,,a i o a e o u a,,8894.0,374.0,1,0,0.0,-1,1
2026-06-23T11:27:23,衛生?,vowel_infer,2,L2-02,気をつけてね,気をつけてね,,i o u e e e,,4044.0,620.0,1,0,0.0,-1,1
2026-06-23T11:27:30,衛生?,vowel_infer,2,L2-03,お腹がすいた,お腹がすいた,,o a a a u i a,,4180.0,321.0,1,0,0.0,-1,1
2026-06-23T11:27:40,衛生?,vowel_infer,3,L3-01,来週は寒くなりそうだ,来週は寒くなりそうだ,,a i u u a a u u a i o u a,,6574.0,424.0,1,0,0.0,-1,1
2026-06-23T11:27:49,衛生?,vowel_infer,3,L3-02,あなたはどこにいるの,あなたはどこにいるの,,a a a a o o i i u o,,4733.0,859.0,1,1,510.0,-1,1
2026-06-23T11:28:02,衛生?,vowel_infer,3,L3-03,車で行こうか、電車で行こうか,車で行こうか、電車で行こうか,,u u a e i o u a 、 e n a e i o u a,,4100.0,6309.0,3,0,2959.5,-1,1
