step,split,loss
14200,train,1.2159
14250,train,1.2337
14300,train,1.2215
14350,train,1.2071
14400,train,1.2437
14450,train,1.2325
14500,train,1.2096
14550,train,1.2222
14600,train,1.2025
14650,train,1.2014
14700,train,1.2401
14750,train,1.2159
14800,train,1.2413
14850,train,1.2106
14900,train,1.2397
14950,train,1.2039
15000,train,1.2276
15050,train,1.2098
15100,train,1.2231
15150,train,1.2018
15200,train,1.2344
15250,train,1.2179
15300,train,1.2485
15350,train,1.1935
15400,train,1.1779
15450,train,1.2255
15500,train,1.1976
15550,train,1.2358
15600,train,1.1802
15650,train,1.1782
15700,train,1.175
15750,train,1.248
15800,train,1.2084
15850,train,1.1901
15900,train,1.2165
15950,train,1.1954
16000,train,1.1905
16050,train,1.2062
16100,train,1.1986
16150,train,1.1787
16200,train,1.2295
16250,train,1.1985
16300,train,1.2009
16350,train,1.182
16400,train,1.1686
16450,train,1.1766
16500,train,1.1855
16550,train,1.2043
16600,train,1.2129
16650,train,1.1648
16700,train,1.199
16750,train,1.1903
16800,train,1.195
16850,train,1.1764
16900,train,1.1534
16950,train,1.188
17000,train,1.1476
17050,train,1.1866
17100,train,1.1823
17150,train,1.1756
17200,train,1.1909
17250,train,1.176
17300,train,1.2051
17350,train,1.1971
17400,train,1.2163
17450,train,1.1664
17500,train,1.2006
17550,train,1.1971
17600,train,1.2106
17650,train,1.1777
17700,train,1.1902
17750,train,1.1691
17800,train,1.1842
17850,train,1.1577
17900,train,1.1469
17950,train,1.1744
18000,train,1.1747
18050,train,1.1659
18100,train,1.1691
18150,train,1.1844
18200,train,1.1683
18250,train,1.1794
18300,train,1.1521
18350,train,1.15
18400,train,1.1839
18450,train,1.1695
18500,train,1.1568
18550,train,1.1908
18600,train,1.1651
18650,train,1.1469
18700,train,1.1577
18750,train,1.1479
18800,train,1.1881
18850,train,1.1495
18900,train,1.1944
18950,train,1.1949
19000,train,1.1603
19050,train,1.1721
19100,train,1.137
19150,train,1.159
19200,train,1.1611
19250,train,1.1452
